Datetime,Close,High,Low,Open,Volume
2024-04-30 03:45:00+00:00,74918.9921875,75009.421875,74711.453125,74800.890625,0
2024-04-30 04:45:00+00:00,74958.8984375,75067.5625,74884.59375,74919.5390625,0
2024-04-30 05:45:00+00:00,74986.46875,75007.671875,74908.171875,74958.53125,0
2024-04-30 06:45:00+00:00,74865.3828125,75010.6171875,74860.7421875,74986.078125,0
2024-04-30 07:45:00+00:00,75065.2578125,75096.6328125,74855.296875,74872.953125,0
2024-04-30 08:45:00+00:00,74478.9296875,75110.4609375,74472.3203125,75069.5234375,0
2024-04-30 09:45:00+00:00,74482.7890625,74589.28125,74477.9765625,74477.9765625,0
2024-05-02 03:45:00+00:00,74698.609375,74745.7890625,74368.25,74388.8125,0
2024-05-02 04:45:00+00:00,74681.7890625,74774.8515625,74637.0625,74700.0625,0
2024-05-02 05:45:00+00:00,74769.328125,74812.1875,74562.3671875,74675.671875,0
2024-05-02 06:45:00+00:00,74729.296875,74784.1171875,74670.09375,74769.421875,0
2024-05-02 07:45:00+00:00,74709.4921875,74802.0390625,74681.2734375,74731.203125,0
2024-05-02 08:45:00+00:00,74584.2890625,74736.0078125,74561.8828125,74704.78125,0
2024-05-02 09:45:00+00:00,74611.109375,74616.6328125,74580.328125,74580.328125,0
2024-05-03 03:45:00+00:00,74633.078125,75092.7890625,74609.7890625,74985.15625,0
2024-05-03 04:45:00+00:00,74330.0234375,74667.640625,74251.6796875,74632.359375,0
2024-05-03 05:45:00+00:00,73935.1796875,74341.671875,73834.1171875,74328.8203125,0
2024-05-03 06:45:00+00:00,73683.8125,74162.5078125,73640.140625,73936.3515625,0
2024-05-03 07:45:00+00:00,73664.6171875,73775.5625,73467.7265625,73684.5,0
2024-05-03 08:45:00+00:00,73948.15625,73956.78125,73569.6171875,73663.6796875,0
2024-05-03 09:45:00+00:00,73878.0625,73948.8984375,73863.2734375,73948.8984375,0
2024-05-06 03:45:00+00:00,74079.75,74356.1484375,73974.8671875,74196.6796875,0
2024-05-06 04:45:00+00:00,74069.859375,74210.7734375,74020.2109375,74090.5703125,0
2024-05-06 05:45:00+00:00,74150.6796875,74153.1328125,73976.0078125,74068.71875,0
2024-05-06 06:45:00+00:00,73885.4296875,74153.828125,73885.4296875,74148.171875,0
2024-05-06 07:45:00+00:00,73872.9921875,73989.0390625,73818.15625,73886.8984375,0
2024-05-06 08:45:00+00:00,73892.6015625,74041.0703125,73786.2890625,73873.3984375,0
2024-05-06 09:45:00+00:00,73895.203125,73895.203125,73873.328125,73891.8828125,0
2024-05-07 03:45:00+00:00,73704.078125,74026.7109375,73632.9375,73978.96875,0
2024-05-07 04:45:00+00:00,73457.8515625,73710.46875,73416.21875,73700.5625,0
2024-05-07 05:45:00+00:00,73420.0703125,73461.6875,73260.71875,73457.8515625,0
2024-05-07 06:45:00+00:00,73324.8515625,73487.8828125,73291.28125,73418.21875,0
2024-05-07 07:45:00+00:00,73559.359375,73596.1875,73310.7421875,73326.7734375,0
2024-05-07 08:45:00+00:00,73531.328125,73570.09375,73360.1328125,73559.359375,0
2024-05-07 09:45:00+00:00,73511.8515625,73531.578125,73505.5390625,73531.578125,0
2024-05-08 03:45:00+00:00,73362.96875,73417.6015625,73151.828125,73291.7578125,0
2024-05-08 04:45:00+00:00,73255.1328125,73364.859375,73073.921875,73363.46875,0
2024-05-08 05:45:00+00:00,73582.6796875,73593.0703125,73246.71875,73255.5390625,0
2024-05-08 06:45:00+00:00,73590.1875,73647.421875,73493.203125,73581.3984375,0
2024-05-08 07:45:00+00:00,73388.6171875,73684.9296875,73355.828125,73590.1875,0
2024-05-08 08:45:00+00:00,73480.6875,73513.640625,73301.3671875,73392.7578125,0
2024-05-08 09:45:00+00:00,73466.390625,73489.1171875,73451.84375,73489.1171875,0
2024-05-09 03:45:00+00:00,73081.75,73454.953125,73077.109375,73289.09375,0
2024-05-09 04:45:00+00:00,72941.46875,73133.703125,72889.5625,73091.3515625,0
2024-05-09 05:45:00+00:00,73043.1171875,73070.1171875,72902.078125,72941.46875,0
2024-05-09 06:45:00+00:00,72718.6796875,73100.4765625,72624.890625,73041.9921875,0
2024-05-09 07:45:00+00:00,72724.1171875,72788.8984375,72604.4296875,72717.8515625,0
2024-05-09 08:45:00+00:00,72373.6015625,72777.4375,72366.3984375,72726.0390625,0
2024-05-09 09:45:00+00:00,72404.171875,72437.296875,72373.0078125,72373.0078125,0
2024-05-10 03:45:00+00:00,72898.3671875,72946.46875,72376.46875,72475.453125,0
2024-05-10 04:45:00+00:00,72664.5390625,72940.8125,72505.2734375,72888.1171875,0
2024-05-10 05:45:00+00:00,72567.2265625,72764.46875,72499.640625,72664.5390625,0
2024-05-10 06:45:00+00:00,72443.4296875,72590.421875,72405.140625,72568.4375,0
2024-05-10 07:45:00+00:00,72533.5234375,72652.140625,72426.21875,72444.65625,0
2024-05-10 08:45:00+00:00,72662.8828125,72738.390625,72470.140625,72534.2265625,0
2024-05-10 09:45:00+00:00,72664.46875,72665.609375,72661.171875,72662.453125,0
2024-05-13 03:45:00+00:00,72046.4375,72596.578125,71886.09375,72481.6171875,0
2024-05-13 04:45:00+00:00,72158.2890625,72190.203125,71870.53125,72044.2421875,0
2024-05-13 05:45:00+00:00,72385.171875,72409.171875,72152.2890625,72157.8671875,0
2024-05-13 06:45:00+00:00,72535.03125,72573.9609375,72332.5234375,72386.8984375,0
2024-05-13 07:45:00+00:00,72756.1796875,72802.4609375,72205.0390625,72535.9296875,0
2024-05-13 08:45:00+00:00,72756.5234375,72862.34375,72655.21875,72783.8828125,0
2024-05-13 09:45:00+00:00,72776.0078125,72776.0078125,72735.1171875,72756.09375,0
2024-05-14 03:45:00+00:00,72752.25,73000.8984375,72705.84375,72754.4921875,0
2024-05-14 04:45:00+00:00,73005.34375,73007.5390625,72745.5625,72754.359375,0
2024-05-14 05:45:00+00:00,73013.9609375,73059.21875,72929.03125,73007.15625,0
2024-05-14 06:45:00+00:00,73101.359375,73163.4765625,72946.46875,73015.8828125,0
2024-05-14 07:45:00+00:00,73220.359375,73285.6484375,73050.796875,73100.2109375,0
2024-05-14 08:45:00+00:00,73112.359375,73270.0625,73026.9921875,73223.8984375,0
2024-05-14 09:45:00+00:00,73104.609375,73111.9609375,73095.8125,73111.9609375,0
2024-05-15 03:45:00+00:00,72948.2421875,73301.15625,72890.546875,73196.2734375,0
2024-05-15 04:45:00+00:00,73062.34375,73129.2734375,72823.7265625,72940.7109375,0
2024-05-15 05:45:00+00:00,72991.78125,73088.6484375,72870.7578125,73062.34375,0
2024-05-15 06:45:00+00:00,72947.3203125,73026.359375,72920.7890625,72990.0390625,0
2024-05-15 07:45:00+00:00,73012.1015625,73043.7109375,72871.5390625,72946.9609375,0
2024-05-15 08:45:00+00:00,73002.71875,73074.6484375,72920.140625,73006.7109375,0
2024-05-15 09:45:00+00:00,72987.03125,73000.71875,72977.5390625,73000.71875,0
2024-05-16 03:45:00+00:00,73179.9296875,73395.84375,73092.953125,73362.9921875,0
2024-05-16 04:45:00+00:00,72844.6875,73193.5,72767.6484375,73182.1171875,0
2024-05-16 05:45:00+00:00,73288.34375,73301.4609375,72721.15625,72844.671875,0
2024-05-16 06:45:00+00:00,72762.3515625,73353.8828125,72691.671875,73290.5390625,0
2024-05-16 07:45:00+00:00,72586.4296875,72812.890625,72530.078125,72758.96875,0
2024-05-16 08:45:00+00:00,73645.7734375,73669.6796875,72578.359375,72587.15625,0
2024-05-16 09:45:00+00:00,73663.890625,73665.5390625,73620.0703125,73648.34375,0
2024-05-17 03:45:00+00:00,73649.6015625,73759.46875,73461.4375,73704.9296875,0
2024-05-17 04:45:00+00:00,73939.1171875,73950.5625,73620.1015625,73648.1875,0
2024-05-17 05:45:00+00:00,73884.6796875,74004.6484375,73838.9296875,73938.8125,0
2024-05-17 06:45:00+00:00,73948.40625,73991.953125,73839.609375,73884.359375,0
2024-05-17 07:45:00+00:00,73966.640625,74070.75,73850.2578125,73948.0625,0
2024-05-17 08:45:00+00:00,73940.703125,74013.3828125,73833.84375,73966.640625,0
2024-05-17 09:45:00+00:00,73917.03125,73939.0390625,73890.5625,73939.0390625,0
2024-05-21 03:45:00+00:00,73806.7109375,73985.03125,73782.578125,73822.8515625,0
2024-05-21 04:45:00+00:00,73923.53125,73936.5390625,73762.3671875,73810.09375,0
2024-05-21 05:45:00+00:00,74045.4609375,74064.7265625,73898.421875,73928.4375,0
2024-05-21 06:45:00+00:00,74130.15625,74189.109375,73966.1875,74045.40625,0
2024-05-21 07:45:00+00:00,74012.2109375,74149.46875,74003.890625,74129.453125,0
2024-05-21 08:45:00+00:00,73958.2578125,74057.2421875,73899.84375,74013.609375,0
2024-05-21 09:45:00+00:00,73953.3515625,73976.2734375,73953.3515625,73957.5703125,0
2024-05-22 03:45:00+00:00,74087.8203125,74134.1484375,73863.359375,74085.65625,0
2024-05-22 04:45:00+00:00,74062.328125,74138.2890625,73995.0234375,74089.6328125,0
2024-05-22 05:45:00+00:00,74095.796875,74112.5078125,73987.671875,74062.328125,0
2024-05-22 06:45:00+00:00,74079.5234375,74163.5390625,74045.1796875,74096.296875,0
2024-05-22 07:45:00+00:00,74139.2265625,74235.7578125,74079.8515625,74079.8515625,0
2024-05-22 08:45:00+00:00,74206.1171875,74261.296875,73981.921875,74141.9921875,0
2024-05-22 09:45:00+00:00,74221.078125,74221.078125,74188.890625,74204.59375,0
2024-05-23 03:45:00+00:00,74486.359375,74530.8203125,74158.6328125,74205.5,0
2024-05-23 04:45:00+00:00,74579.0625,74648.7578125,74416.8203125,74488.4921875,0
2024-05-23 05:45:00+00:00,74746.578125,74796.3203125,74569.7734375,74578.9921875,0
2024-05-23 06:45:00+00:00,74964.671875,75049.0703125,74737.7890625,74746.6015625,0
2024-05-23 07:45:00+00:00,75251.8984375,75254.796875,74882.65625,74967.2578125,0
2024-05-23 08:45:00+00:00,75446.65625,75465.84375,75170.65625,75249.2109375,0
2024-05-23 09:45:00+00:00,75418.09375,75445.3984375,75382.8125,75445.3984375,0
2024-05-24 03:45:00+00:00,75274.921875,75582.28125,75246.390625,75310.0625,0
2024-05-24 04:45:00+00:00,75385.2578125,75471.9609375,75265.0390625,75267.6171875,0
2024-05-24 05:45:00+00:00,75414.296875,75466.8984375,75368.8515625,75385.5234375,0
2024-05-24 06:45:00+00:00,75493.8984375,75559.8984375,75382.8515625,75420.703125,0
2024-05-24 07:45:00+00:00,75548.5703125,75597.7578125,75430.6796875,75489.796875,0
2024-05-24 08:45:00+00:00,75424.4296875,75636.078125,75309.1171875,75548.8984375,0
2024-05-24 09:45:00+00:00,75410.390625,75427.2890625,75410.390625,75427.2890625,0
2024-05-27 03:45:00+00:00,75466.2890625,75675.140625,75405.6875,75653.1875,0
2024-05-27 04:45:00+00:00,75586.7890625,75649.109375,75441.5390625,75463.71875,0
2024-05-27 05:45:00+00:00,75855.9375,75876.1796875,75582.0703125,75590.796875,0
2024-05-27 06:45:00+00:00,75892.90625,76007.9296875,75840.46875,75857.65625,0
2024-05-27 07:45:00+00:00,75856.15625,75937.5390625,75784.7109375,75893.1015625,0
2024-05-27 08:45:00+00:00,75418.4921875,75868.6015625,75183.5703125,75857.2734375,0
2024-05-27 09:45:00+00:00,75390.6171875,75419.1796875,75390.53125,75419.1796875,0
2024-05-28 03:45:00+00:00,75434.5625,75580.171875,75347.2421875,75546.6328125,0
2024-05-28 04:45:00+00:00,75466.9765625,75574.2109375,75428.9609375,75434.796875,0
2024-05-28 05:45:00+00:00,75378.1796875,75493.6796875,75359.578125,75466.9375,0
2024-05-28 06:45:00+00:00,75397.9609375,75463.21875,75248.203125,75377.4296875,0
2024-05-28 07:45:00+00:00,75341.3515625,75491.3671875,75293.6484375,75396.453125,0
2024-05-28 08:45:00+00:00,75209.0625,75372.6796875,75187.9375,75341.3515625,0
2024-05-28 09:45:00+00:00,75170.78125,75226.359375,75170.7421875,75207.6015625,0
2024-05-29 03:45:00+00:00,74735.6171875,74985.5078125,74729.5,74776.3828125,0
2024-05-29 04:45:00+00:00,74604.921875,74766.5390625,74590.40625,74735.390625,0
2024-05-29 05:45:00+00:00,74656.4609375,74678.5078125,74539.6015625,74605.0703125,0
2024-05-29 06:45:00+00:00,74679.296875,74810.921875,74586.34375,74656.4609375,0
2024-05-29 07:45:00+00:00,74646.203125,74765.4921875,74577.25,74673.8984375,0
2024-05-29 08:45:00+00:00,74529.4375,74675.796875,74454.5703125,74645.890625,0
2024-05-29 09:45:00+00:00,74502.9609375,74531.9296875,74502.71875,74531.9296875,0
2024-05-30 03:45:00+00:00,74044.9765625,74491.2890625,74031.8125,74260.15625,0
2024-05-30 04:45:00+00:00,74078.25,74231.1875,74033.6328125,74046.328125,0
2024-05-30 05:45:00+00:00,74108.203125,74162.203125,74004.3125,74077.96875,0
2024-05-30 06:45:00+00:00,74146.109375,74202.109375,74050.3203125,74108.1796875,0
2024-05-30 07:45:00+00:00,73962.171875,74148.5,73931.9609375,74145.7578125,0
2024-05-30 08:45:00+00:00,73835.59375,74015.15625,73668.8984375,73963.5390625,0
2024-05-30 09:45:00+00:00,73885.4921875,73885.4921875,73835.4609375,73835.4609375,0
2024-05-31 03:45:00+00:00,74101.7890625,74470.8203125,74082.9375,74201.9296875,0
2024-05-31 04:45:00+00:00,74051.828125,74265.34375,73956.1171875,74095.7109375,0
2024-05-31 05:45:00+00:00,74014.40625,74153.59375,73968.3515625,74057.7890625,0
2024-05-31 06:45:00+00:00,74040.296875,74122.140625,73967.0078125,74014.40625,0
2024-05-31 07:45:00+00:00,74245.5234375,74354.6015625,74004.15625,74040.3828125,0
2024-05-31 08:45:00+00:00,73966.6015625,74244.28125,73773.1484375,74238.53125,0
2024-05-31 09:45:00+00:00,73961.2734375,73971.34375,73909.0234375,73971.34375,0
2024-06-03 03:45:00+00:00,76101.7734375,76652.1484375,75679.65625,76652.1484375,0
2024-06-03 04:45:00+00:00,76094.0625,76145.703125,75929.2578125,76099.78125,0
2024-06-03 05:45:00+00:00,76250.5,76333.7265625,76073.59375,76088.0,0
2024-06-03 06:45:00+00:00,76269.953125,76307.8203125,76178.6484375,76254.5703125,0
2024-06-03 07:45:00+00:00,76329.578125,76403.4296875,76071.2421875,76271.3671875,0
2024-06-03 08:45:00+00:00,76442.359375,76452.6171875,76226.0078125,76331.0625,0
2024-06-03 09:45:00+00:00,76467.328125,76467.4296875,76367.796875,76441.859375,0
2024-06-04 03:45:00+00:00,75027.2578125,76285.78125,73665.1171875,76285.78125,0
2024-06-04 04:45:00+00:00,72723.5234375,75037.2109375,72343.15625,75031.5234375,0
2024-06-04 05:45:00+00:00,71247.359375,73438.0703125,70811.2421875,72708.4609375,0
2024-06-04 06:45:00+00:00,72287.203125,72521.46875,70234.4296875,71240.5078125,0
2024-06-04 07:45:00+00:00,72638.84375,73260.4921875,72097.0,72286.546875,0
2024-06-04 08:45:00+00:00,72264.328125,72703.453125,71536.390625,72622.890625,0
2024-06-04 09:45:00+00:00,72078.8984375,72257.0078125,71909.1015625,72257.0078125,0
2024-06-05 03:45:00+00:00,72643.7109375,72848.5625,71883.15625,72835.390625,0
2024-06-05 04:45:00+00:00,73546.6015625,73546.6015625,72233.5703125,72643.3203125,0
2024-06-05 05:45:00+00:00,73420.5390625,73850.65625,73138.296875,73547.578125,0
2024-06-05 06:45:00+00:00,73609.6796875,73746.5078125,73201.2109375,73420.7421875,0
2024-06-05 07:45:00+00:00,73919.953125,74204.671875,73536.921875,73604.90625,0
2024-06-05 08:45:00+00:00,74431.15625,74532.421875,73796.3984375,73921.8828125,0
2024-06-05 09:45:00+00:00,74382.4765625,74451.03125,74382.4765625,74431.9609375,0
2024-06-06 03:45:00+00:00,74903.2578125,75004.3828125,74531.9375,75004.3828125,0
2024-06-06 04:45:00+00:00,75267.703125,75297.0234375,74898.0234375,74904.03125,0
2024-06-06 05:45:00+00:00,74684.59375,75276.609375,74582.109375,75267.53125,0
2024-06-06 06:45:00+00:00,74635.1171875,74937.5625,74476.6796875,74687.59375,0
2024-06-06 07:45:00+00:00,74910.359375,75120.8828125,74631.2109375,74636.84375,0
2024-06-06 08:45:00+00:00,75068.7890625,75075.1875,74545.7890625,74910.5234375,0
2024-06-06 09:45:00+00:00,75074.0703125,75074.0703125,75027.2109375,75071.1328125,0
2024-06-07 03:45:00+00:00,75592.6796875,75694.3984375,74947.421875,75031.7890625,0
2024-06-07 04:45:00+00:00,75946.8671875,75981.46875,75373.2421875,75592.5,0
2024-06-07 05:45:00+00:00,76391.0234375,76535.8203125,75813.0234375,75949.8125,0
2024-06-07 06:45:00+00:00,76474.359375,76589.578125,76279.671875,76392.2890625,0
2024-06-07 07:45:00+00:00,76556.78125,76629.78125,76222.546875,76466.84375,0
2024-06-07 08:45:00+00:00,76718.046875,76793.1484375,76444.4765625,76551.546875,0
