Datetime,Close_log,Open_log,Low_log,High_log,Volume_log,MA_10,MA_50,ma_cross,EMA_10,EMA_50,Log_Return,Volatility_10,Volatility_50,lag_2,lag_3,momentum,RSI,BB_Upper,BB_Lower,BB_Width,BB_Position,MACD,MACD_Signal,MACD_Histogram,Up_Down
1997-09-12,8.293034109977382,8.297296864598623,8.288893854763497,8.298663977652772,0.0,8.295714953910338,8.345074548539266,-0.04935959462892825,8.300938544064843,8.335471768913168,-0.003529883576902648,0.009700174311855094,0.01443538315664365,0.0034814396453484164,-0.013733687799799554,-0.009070525780190408,-0.08324336641287346,4324.405758050327,3816.3853064027976,0.12480862059359499,0.35343977672778737,-68.53256230274474,-72.92200564602938,4.38944334328464,0
1997-09-15,8.298644050087043,8.290892133565299,8.29053596705222,8.308285354197656,0.0,8.297592656817837,8.343562967822532,-0.04597031100469451,8.300521363341607,8.334027544645478,0.0056099401096609824,0.00841260897273765,0.014411904836754542,-0.008823654582371887,0.0034814396453484164,-0.01699584620406469,-0.15200099604839523,4264.6448574829055,3840.975210876469,0.10453725761468846,0.41882800058925695,-64.9686075804766,-71.33132603291882,6.362718452442223,0
1997-09-16,8.297192218996981,8.300533578748539,8.294259640023157,8.30285820368847,0.0,8.299164032695543,8.34207058665129,-0.042906553955747384,8.299916064369857,8.332583022071027,-0.0014518310900619724,0.00847889173408509,0.01441132050715142,-0.003529883576902648,-0.008823654582371887,-0.004713989494327109,-0.1463762892256213,4207.903759370446,3866.8782962936166,0.08446679073836226,0.4272754013215167,-61.901010351465175,-69.4452628966281,7.544252545162919,0
1997-09-17,8.275969698053073,8.29746378817022,8.27246334293398,8.29746378817022,0.0,8.298225056221076,8.340152090430026,-0.04192703420894972,8.295562179584987,8.330362891717382,-0.021222520943908307,0.011046533457479848,0.01467633033807177,0.0056099401096609824,-0.003529883576902648,-0.029417950083583833,-0.06565568216135005,4191.488006378521,3859.5900453792915,0.08244807934181328,0.20711194651137982,-65.5137938103071,-68.6589690793639,3.145175269056793,1
1997-09-18,8.264819064017681,8.269864503704298,8.25439623081021,8.269864503704298,0.0,8.295126152336309,8.33816087179709,-0.04303471946078119,8.289972522209114,8.327792545533079,-0.01115063403539196,0.01067801681700993,0.01471358630080745,-0.0014518310900619724,0.0056099401096609824,-0.031744929536603905,0.01785005034963902,4153.711391895772,3862.380673533916,0.07268647016125307,0.07685199186419067,-71.07260268941036,-69.1416958013732,-1.930906888037157,0
1997-09-19,8.249345148953841,8.266583341870357,8.248079005012519,8.267215320716055,0.0,8.289850203655934,8.335790669238833,-0.04594046558289833,8.28258572707179,8.324716177039777,-0.015473915063839883,0.010768533467315692,0.014813611027170949,-0.021222520943908307,-0.0014518310900619724,-0.04368896102354114,-0.24755115129281477,4141.463927192212,3841.524134331225,0.07514474293319892,-0.05469103311452828,-79.37624740912815,-71.1886061229242,-8.187641286203956,1
1997-09-22,8.235092842848676,8.25083156336025,8.231780547071676,8.251935154180362,0.0,8.281795498311693,8.332684023135466,-0.050888524823772485,8.273950657213042,8.321201536483263,-0.014252306105165147,0.00877591610848467,0.014459493149520337,-0.01115063403539196,-0.021222520943908307,-0.06355120723836727,-0.3399536436120897,4154.456568222818,3800.863500136557,0.0888947434038772,-0.08448556433491547,-89.29545214694372,-74.8099753277281,-14.48547681921562,1
1997-09-23,8.24863898843401,8.235517070513438,8.233070142702632,8.248866597693503,0.0,8.276468776305965,8.329968166609081,-0.053499390303116456,8.269348535616853,8.318355946363685,0.013546145585333846,0.010817050943804082,0.014642764354063127,-0.015473915063839883,-0.01115063403539196,-0.04855323056297145,-0.25406485106139287,4142.141474541317,3784.696562568059,0.09018600110154504,0.10553614848982151,-91.94662425057322,-78.23730511229712,-13.7093191382761,0
1997-09-24,8.249551603489154,8.251916883445569,8.248793351994221,8.259522893032427,0.0,8.270885171841213,8.327529820577867,-0.05664464873665409,8.265749093411817,8.315657736839194,0.0009126150551441725,0.01061321529141759,0.014575930643413832,-0.014252306105165147,-0.015473915063839883,-0.02641809456391897,-0.3452925316909912,4126.9171636429055,3772.755858818032,0.08966480101591444,0.15008430499663677,-92.6975248344288,-81.12934905672346,-11.568175777705349,0
1997-09-25,8.2655370055241,8.252133309730317,8.252133309730317,8.265781332328837,0.0,8.267782473038194,8.325864975125736,-0.058082502087541954,8.265710531977685,8.313692217964093,0.01598540203494636,0.012503058456913418,0.014505336744763092,0.013546145585333846,-0.014252306105165147,0.0007179415064193506,-0.25813410124448966,4125.156413308916,3766.957624777022,0.09077385015048957,0.33669135038403303,-87.31149480497106,-82.36577820637298,-4.945716598598082,0
1997-09-26,8.275182772356048,8.267700526265843,8.264589902777612,8.275827118761125,0.0,8.26599733927606,8.324411988800614,-0.05841464952455411,8.267432757501023,8.312182043626523,0.009645766831948066,0.013131469198659998,0.014593125034661963,0.0009126150551441725,0.013546145585333846,0.0258376234022073,-0.29810171775008426,4124.899498066601,3772.130531230274,0.08934218700640718,0.43402190497992044,-79.0908614053742,-81.71079484617323,2.6199334407990307,0
1997-09-29,8.272016196305856,8.27334937249848,8.270995956255897,8.285016470924937,0.0,8.263334553897941,8.323074625644058,-0.059740071746116286,8.268266110010991,8.310606912359047,-0.00316657605019266,0.012873046309046633,0.014555384948952296,0.01598540203494636,0.0009126150551441725,0.036923353457179786,-0.23729753970883677,4124.073614411187,3769.872430510688,0.08973995562798516,0.40360578708418765,-72.73883835281595,-79.91640354750177,7.177565194685826,1
1997-09-30,8.269252217026553,8.271635327735574,8.265030140042752,8.273443770371125,0.0,8.2605405537009,8.321633326293576,-0.061092772592676425,8.268445402195638,8.30898515960091,-0.0027639792793028306,0.012866017030683552,0.014546465351542285,0.009645766831948066,0.01598540203494636,0.02061322859254311,-0.2888702455355826,4122.796578569617,3766.3494663522583,0.09036392790492154,0.3806471094704219,-67.79479184091497,-77.49208120618442,9.697289365269455,0
1997-10-01,8.270143658039162,8.264983768718267,8.255347766937373,8.270143658039162,0.0,8.259957949699508,8.320540694428216,-0.06058274472870728,8.26875417598537,8.307461963461234,0.0008914410126088512,0.011129934195449234,0.014385166069726802,-0.00316657605019266,0.009645766831948066,0.020592054550007788,-0.2248700223358911,4120.341185880037,3762.8168707605873,0.0907058598979322,0.399114502065023,-62.871055626494126,-74.56787609024637,11.696820463752246,0
1997-10-03,8.255238637927615,8.270581395160265,8.251643037074217,8.274678222311898,0.0,8.258999907090502,8.319007580079587,-0.06000767298908549,8.266296805429414,8.305413989910896,-0.014905020111546818,0.011580240448987486,0.014465557518132999,-0.0027639792793028306,-0.00316657605019266,-0.010298367596485392,-0.291390588610256,4114.281340804198,3752.9457099770516,0.09185844732707049,0.26231642385978987,-62.906181378177735,-72.23553714783264,9.32935576965491,1
1997-10-06,8.25773312852143,8.255919357603712,8.250372022383806,8.258984460434592,0.0,8.259838705047262,8.317370838880317,-0.057532133833055,8.264739773264326,8.30354415220935,0.002494490593814902,0.010412816845445204,0.01441671742406951,0.0008914410126088512,-0.0027639792793028306,-0.017449643834618556,-0.3249149403166402,4102.3195483483805,3747.4065014563066,0.09042686194148257,0.309747943607574,-61.45020373825673,-70.07847046591746,8.62826672766073,0
1997-10-07,8.271154526033035,8.256332181261225,8.254713510132232,8.271377068374132,0.0,8.263444873365696,8.315695127773683,-0.05225025440798703,8.265906091949546,8.30227397079067,0.013421397511605093,0.009602301775407805,0.014372373817990195,-0.014905020111546818,0.0008914410126088512,-0.0008616702728208026,-0.19025941825129478,4076.1363935537424,3755.805647461883,0.08180110231007784,0.47967394747538367,-55.451482623602715,-67.1530728974545,11.701590273851792,0
1997-10-08,8.27645322235437,8.271906250455636,8.271906250455636,8.27907051844653,0.0,8.266226296757733,8.314242216714511,-0.048015919956778674,8.26782375202315,8.30126139242062,0.005298696321334617,0.008988246989584189,0.014392812487492062,0.002494490593814902,-0.014905020111546818,0.007201005327816645,0.003970039516738524,4061.8201310991203,3759.989903080567,0.07717656826223547,0.5640259377126353,-48.46283651562726,-63.41502562108906,14.952189105461798,0
1997-10-09,8.289027038161926,8.275847506235012,8.273180867282052,8.289649961044313,0.0,8.27017384022501,8.313214543881532,-0.043040703656522794,8.271678894957471,8.30078161382224,0.012573815807556343,0.009462777369089794,0.014488460791280968,0.013421397511605093,0.002494490593814902,0.018883380122764137,0.19637725175199236,4048.7388425849867,3766.5061769462636,0.07222618483064555,0.756304319020505,-38.46805452451372,-58.425631401774,19.95757687726028,0
